En_tot Ep Ec 
14.100975 8.338327 5.762647 
14.434871 9.239904 5.194967 
14.478395 11.878563 2.599832 
14.178172 6.352405 7.825767 
14.284704 9.817023 4.467681 
14.142713 5.416657 8.726056 
14.103450 1.548862 12.554588 
14.144427 2.971690 11.172737 
14.184093 4.495317 9.688777 
14.234213 3.618008 10.616206 
14.255341 9.026172 5.229169 
14.186146 4.205831 9.980315 
14.260908 7.118927 7.141981 
14.285625 6.659665 7.625959 
14.463850 9.779908 4.683942 
13.974645 4.333390 9.641255 
14.196916 5.323396 8.873519 
14.473896 12.492749 1.981147 
14.222792 6.072540 8.150252 
14.426294 9.996215 4.430079 
14.312749 6.759245 7.553505 
14.009192 3.152036 10.857156 
14.185212 5.400734 8.784478 
14.238902 8.240393 5.998509 
14.270484 3.659916 10.610567 
14.322666 10.748136 3.574530 
14.260762 4.658620 9.602142 
14.401941 8.975765 5.426176 
14.234166 5.741128 8.493038 
14.263785 6.840152 7.423632 
14.098369 4.942957 9.155412 
14.228983 5.433531 8.795453 
14.149341 9.884326 4.265015 
14.146368 6.271755 7.874613 
14.300291 8.245450 6.054842 
14.242102 5.041462 9.200640 
14.182412 6.174535 8.007878 
14.266504 5.920544 8.345961 
14.285460 10.121758 4.163702 
14.237146 3.650609 10.586537 
14.228194 6.391395 7.836798 
14.107199 2.985853 11.121346 
14.178368 7.822721 6.355647 
14.180301 4.488352 9.691948 
14.616261 9.497434 5.118827 
14.279834 8.225182 6.054652 
14.228815 8.528050 5.700765 
14.345334 10.709052 3.636281 
13.983256 4.266413 9.716843 
14.105474 3.962601 10.142873 
14.085611 2.483673 11.601938 
14.295064 6.263111 8.031953 
14.163149 1.883126 12.280022 
14.097510 4.244930 9.852580 
14.247370 5.298550 8.948819 
14.170408 4.310928 9.859480 
14.160381 3.891269 10.269112 
14.154101 5.698624 8.455477 
13.967602 3.325085 10.642517 
14.163418 8.615743 5.547675 
14.356333 8.133533 6.222800 
14.308265 11.325752 2.982513 
14.406724 9.948925 4.457799 
14.288161 7.211538 7.076623 
14.131273 2.730509 11.400764 
13.975960 5.346732 8.629228 
14.325147 7.472508 6.852638 
14.123648 3.205749 10.917898 
14.245250 4.413950 9.831301 
